user_id,User hobby,Places,Genres
1,Animal Lover,Rana Hunting and Luxury Resort Lahore,Animal Lover|Gardening|Fitness
2,Music,The Guitar Center,Shopping|Music
3,Music,True Brew Records,Music
4,Music,Sound of Music,Shopping|Music
5,Music,FEELING JAZZ - YAMAHA MUSIC,Shopping|Music
6,Music,FEELING JAZZ - YAMAHA MUSIC,Shopping|Music
7,Music,The Guitar Center,Shopping|Music
8,Music,True Brew Records,Music
9,Music,Sound of Music,Shopping|Music
10,Music,FEELING JAZZ - YAMAHA MUSIC,Shopping|Music
11,Shopping,Liberty Market,Shopping
12,Literature,Anees Book Corner,Shopping|Literature
13,Shopping,Mall of Lahore,Shopping
14,Shopping,Auriga Market,Shopping
15,Shopping,Gulberg Galleria,Shopping
16,Sports,Gaddafi Stadium,
17,Sports,Arena56,
18,Sports,Lahore Marina Boat Club,
19,Sports,2F2F Formula Karting,
20,Photography ,Lahore fort,
21,Being Spiritual ( Religious),Wazir khan Masjid,
22,Shopping,Grand Square Mall,
23,Shopping,Panorama Shopping Centre,
24,Shopping,Amanah Mall,
25,Shopping,Xinhua Mall,
26,Being Spiritual ( Religious),Wazir khan Masjid,
27,Art & Calligraphy,Ejaz Art Gallery,
28,Being Spiritual ( Religious),Jamia masjid Alqaadsia,
29,Literature,Liberty Books,
30,Art & Calligraphy,AL-Hammra Art Centre,
31,Watching kdramas,My home,
32,Being Spiritual ( Religious),Badshahi Masjid,
33,Sports,Oasis Golf and Aqua Resort,
34,Sleeping,Home sweet home,
35,Fitness,Mavi Masjid,
36,Travelling,F1 tracks,
37,Sports,Lahore Marina Boat Club,
38,Shopping,Packages Mall,
39,Gaming and hanging out with buddies,Chaye Qawali,
40,Music,Strictly Social,
41,Sports,Jallo Forest and Wildlife,
42,Sports,Rana Hunting and Luxury Resort Lahore,Animal Lover|Gardening|Fitness
43,Sports,Changa Manga Forest and Wildlife Park,
44,Sports,Lahore Safari Park,
45,Sports,Lahore Zoo,
46,Literature,Readings,
47,Being Spiritual ( Religious),Badshahi Masjid,
48,Literature,Liberty Books,
49,Literature,The Last Word,
50,Literature,British Council Lahore Library,
51,Literature,Government Model Town Library,
52,Literature,Gymkhana library & Reading Room,
53,Art & Calligraphy,Passion Art Gallery,
54,Art & Calligraphy,Nairang Art Gallery,
55,Art & Calligraphy,Naqsh Art Gallery,
56,Art & Calligraphy,AL-Hammra Art Centre,
57,Art & Calligraphy,Prime Art Gallery,
58,Art & Calligraphy,Zulfi’s Art Gallery,
59,Art & Calligraphy,Ocean Art Gallery,
60,Art & Calligraphy,Hamail Art Gallery,
61,Art & Calligraphy,Ejaz Art Gallery,
62,Shopping,Emporium Mall,
63,Being Spiritual ( Religious),Grand Jamia Masjid,
64,Music,Musically - Rooftop Restaurant,
65,Sports,Gaddafi Stadium,
66,Gardening,Jilani Park,
67,Art & Calligraphy,Nairang Art Gallery,
68,Art & Calligraphy,Naqsh Art Gallery,
69,Art & Calligraphy,AL-Hammra Art Centre,
70,Art & Calligraphy,Prime Art Gallery,
71,Art & Calligraphy,Zulfi’s Art Gallery,
72,Art & Calligraphy,Ejaz Art Gallery,
73,Sports,Quaid-e-Azam International Cycling Velodrome,
74,Sports,LDA Sports Complex,
75,Sports,Defence Raya Golf and Country Club,
76,Fitness,Route to Pilates,
77,Art & Calligraphy,AL-Hammra Art Centre,
78,Shopping,Emporium Mall,
79,Shopping,Packages Mall,
80,Shopping,Fortress,
81,Shopping,Anarkali,
82,Shopping,Mall of Lahore,Shopping
83,Shopping,Fortress Square,
84,Shopping,Liberty Market,Shopping
85,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
86,Photography,Wazir khan Masjid,
87,Photography,Badshahi Masjid,
88,Shopping,Mall of Lahore,Shopping
89,Shopping,Fortress Square,
90,Shopping,Liberty Market,Shopping
91,Shopping,Anarkali,
92,Shopping,Gulberg Galleria,
93,Shopping,Packages Mall,
94,Shopping,Emporium Mall,
95,Book reading,,
96,Sports,Gaddafi Stadium,
97,Sports,"2F2F Formula Karting,",
98,Animal Lover,Rana Hunting and Luxury Resort Lahore,Animal Lover|Gardening|Fitness
99,History Lover,Army Museum,
100,History Lover,Lahore Meusem,
