user_id,User hobby,Places,Genres
1,Animal Lover,Rana Hunting and Luxury Resort Lahore,Animal Lover|Gardening|Fitness
2,Music,The Guitar Center,Shopping|Music
3,Music,True Brew Records,Music
4,Music,Sound of Music,Shopping|Music
5,Music,FEELING JAZZ - YAMAHA MUSIC,Shopping|Music
6,Music,FEELING JAZZ - YAMAHA MUSIC,Shopping|Music
7,Music,The Guitar Center,Shopping|Music
8,Music,True Brew Records,Shopping|Music
9,Music,Sound of Music,Shopping|Music
10,Music,FEELING JAZZ - YAMAHA MUSIC,Shopping|Music
11,Shopping,Liberty Market,Shopping|Music
12,Literature,Anees Book Corner,Shopping|Music
13,Shopping,Mall of Lahore,Shopping|Music
14,Shopping,Auriga Market,Shopping|Music
15,Shopping,Gulberg Galleria,Shopping|Music
16,Sports,Gaddafi Stadium,Shopping|Music
17,Sports,Arena56,Shopping|Music
18,Sports,Lahore Marina Boat Club,Shopping|Music
19,Sports,2F2F Formula Karting,Shopping|Music
20,Photography ,Lahore fort,Shopping|Music
21,Being Spiritual ( Religious),Wazir khan Masjid,Shopping|Music
22,Shopping,Grand Square Mall,Shopping|Music
23,Shopping,Panorama Shopping Centre,Shopping|Music
24,Shopping,Amanah Mall,Shopping|Music
25,Shopping,Xinhua Mall,Shopping|Music
26,Being Spiritual ( Religious),Wazir khan Masjid,Shopping|Music
27,Art & Calligraphy,Ejaz Art Gallery,Shopping|Music
28,Being Spiritual ( Religious),Jamia masjid Alqaadsia,Shopping|Music
29,Literature,Liberty Books,Shopping|Music
30,Art & Calligraphy,AL-Hammra Art Centre,Shopping|Music
31,Watching kdramas,My home,Shopping|Music
32,Being Spiritual ( Religious),Badshahi Masjid,Shopping|Music
33,Sports,Oasis Golf and Aqua Resort,Shopping|Music
34,Sleeping,Home sweet home,Shopping|Music
35,Fitness,Mavi Masjid,Shopping|Music
36,Travelling,F1 tracks,Shopping|Music
37,Sports,Lahore Marina Boat Club,Shopping|Music
38,Shopping,Packages Mall,Shopping|Music
39,Gaming and hanging out with buddies,Chaye Qawali,Shopping|Music
40,Music,Strictly Social,Shopping|Music
41,Sports,Jallo Forest and Wildlife,Shopping|Music
42,Sports,Rana Hunting and Luxury Resort Lahore,Shopping|Music
43,Sports,Changa Manga Forest and Wildlife Park,Shopping|Music
44,Sports,Lahore Safari Park,Shopping|Music
45,Sports,Lahore Zoo,Shopping|Music
46,Literature,Readings,Shopping|Music
47,Being Spiritual ( Religious),Badshahi Masjid,Shopping|Music
48,Literature,Liberty Books,Shopping|Music
49,Literature,The Last Word,Shopping|Music
50,Literature,British Council Lahore Library,Shopping|Music
51,Literature,Government Model Town Library,Shopping|Music
52,Literature,Gymkhana library & Reading Room,Shopping|Music
53,Art & Calligraphy,Passion Art Gallery,Shopping|Music
54,Art & Calligraphy,Nairang Art Gallery,Shopping|Music
55,Art & Calligraphy,Naqsh Art Gallery,Shopping|Music
56,Art & Calligraphy,AL-Hammra Art Centre,Shopping|Music
57,Art & Calligraphy,Prime Art Gallery,Shopping|Music
58,Art & Calligraphy,Zulfiâ€™s Art Gallery,Shopping|Music
59,Art & Calligraphy,Ocean Art Gallery,Shopping|Music
60,Art & Calligraphy,Hamail Art Gallery,Shopping|Music
61,Art & Calligraphy,Ejaz Art Gallery,Shopping|Music
62,Shopping,Emporium Mall,Shopping|Music
63,Being Spiritual ( Religious),Grand Jamia Masjid,Shopping|Music
64,Music,Musically - Rooftop Restaurant,Shopping|Music
65,Sports,Gaddafi Stadium,Shopping|Music
66,Gardening,Jilani Park,Shopping|Music
67,Art & Calligraphy,Nairang Art Gallery,Shopping|Music
68,Art & Calligraphy,Naqsh Art Gallery,Shopping|Music
69,Art & Calligraphy,AL-Hammra Art Centre,Shopping|Music
70,Art & Calligraphy,Prime Art Gallery,Shopping|Music
71,Art & Calligraphy,Zulfiâ€™s Art Gallery,Shopping|Music
72,Art & Calligraphy,Ejaz Art Gallery,Shopping|Music
73,Sports,Quaid-e-Azam International Cycling Velodrome,Shopping|Music
74,Sports,LDA Sports Complex,Shopping|Music
75,Sports,Defence Raya Golf and Country Club,Shopping|Music
76,Fitness,Route to Pilates,Shopping|Music
77,Art & Calligraphy,AL-Hammra Art Centre,Shopping|Music
